,gram,language1,language2,l1,l2,kl,rao,dot_product
86,bigram,Tamil,Urdu,1.963722489002718,0.12994649846993342,0.10962843434161108,3.50594881582998,4.867451169955433e-05
87,bigram,Telugu,Telugu,0.0,0.0,0.0,0.0,0.006162286147606654
88,bigram,Telugu,Urdu,1.874755914459572,0.111078850249813,0.09807087630139191,2.2843171607559563,0.000224549378894872
89,bigram,Urdu,Urdu,0.0,0.0,0.0,0.0,0.006625323583003425
90,trigram,Bengali,Bengali,0.0,0.0,0.0,0.0,0.0018964148733127306
91,trigram,Bengali,Hindi,1.9459966121707786,0.057539574963775014,0.08367248738464995,2.4718310694364947,2.1229215307936352e-05
92,trigram,Bengali,Malayalam,1.922098863835283,0.07855177155027979,0.22200554481698195,3.0024287741865616,6.556487785909237e-05
93,trigram,Bengali,Marathi,1.9472252039257834,0.05766073057207379,0.12319691069381057,2.376708023197397,1.5342253755983247e-05
94,trigram,Bengali,Oriya,1.6849724274940412,0.06013780031948268,0.17957110522180136,1.8003748637205435,0.0008521782162805167
95,trigram,Bengali,Punjabi,1.9759052944951998,0.0597625288385031,0.06930445409706826,2.21692728560329,8.916883732257104e-06
96,trigram,Bengali,Tamil,1.8878950974768267,0.06577794091832921,0.15778250085799417,2.7371019440471107,0.00012526895440267762
97,trigram,Bengali,Telugu,1.9372805310222192,0.058755223900278694,0.20038489446089833,2.331979109433283,4.585030162084841e-05
98,trigram,Bengali,Urdu,1.9955542987577917,0.07159196876358913,0.00039273621005859343,0.7878366928415469,1.5756325782701976e-06
99,trigram,Hindi,Hindi,0.0,0.0,0.0,0.0,0.0014568462443153127
100,trigram,Hindi,Malayalam,1.9240999947087596,0.07609481961300878,0.34542724685985043,2.8409149631020107,3.576018423585344e-05
101,trigram,Hindi,Marathi,1.1890301025186394,0.04079995229886191,0.5758030840362014,1.645425951881682,0.000625619810515192
102,trigram,Hindi,Oriya,1.8984498273739594,0.06931585490081289,0.23025138863334393,2.3902883469119494,3.832754509949027e-05
103,trigram,Hindi,Punjabi,1.8490054716997137,0.054473273628859425,0.18921838352747883,1.8861224742911846,9.124372589768e-05
104,trigram,Hindi,Tamil,1.9209435287685133,0.06360718650741584,0.23833124005445297,2.838615477843736,4.591630793695145e-05
105,trigram,Hindi,Telugu,1.799235997215583,0.052395877838597955,0.3215416515983501,2.3148686758500894,0.00017949014766940828
106,trigram,Hindi,Urdu,1.9890196195114618,0.06843556502636688,0.00966366557861307,2.1628247238136478,2.783033563847394e-06
107,trigram,Malayalam,Malayalam,0.0,0.0,0.0,0.0,0.0044050956960932
108,trigram,Malayalam,Marathi,1.9347656342098674,0.07618178722258168,0.12315775570538967,2.918319185435329,3.023023798541895e-05
109,trigram,Malayalam,Oriya,1.9171081106034205,0.0878628728870347,0.48617082795308125,3.0602498354658483,5.485392532204209e-05
110,trigram,Malayalam,Punjabi,1.9847747460739427,0.07803611398643412,0.09246888497793805,3.3802805140418464,4.219678656993482e-06
111,trigram,Malayalam,Tamil,1.4722077527380921,0.07617555742751812,0.27021229965807275,1.8928627655919394,0.0006416203468238734
112,trigram,Malayalam,Telugu,1.9056794451367374,0.07723939052011934,0.362466863133643,2.708121304059149,4.3317156837187225e-05
113,trigram,Malayalam,Urdu,1.9971073387766574,0.08738724772546862,-0.00025792255913662134,2.0982131986106025,3.5550717556787223e-07
114,trigram,Marathi,Marathi,0.0,0.0,0.0,0.0,0.0014590294843045033
115,trigram,Marathi,Oriya,1.9224417664850817,0.06946753722832778,0.04710646019692918,2.0004558710966234,2.8893671124958432e-05
116,trigram,Marathi,Punjabi,1.9099422445449765,0.05540978272376474,0.08245428718381721,2.0579729081181872,4.088210506731417e-05
117,trigram,Marathi,Tamil,1.9320081103112101,0.06374270053584219,0.2284941864471868,3.1641716239060154,3.8379079825262915e-05
118,trigram,Marathi,Telugu,1.8306445435616476,0.05302162758455018,0.135872261500086,2.2313673298616052,0.00014759927904543026
119,trigram,Marathi,Urdu,1.9909213736817635,0.06844997196463652,0.007078220466565721,2.1048008050391678,2.8886028178758576e-06
120,trigram,Oriya,Oriya,0.0,0.0,0.0,0.0,0.0034244965865141983
121,trigram,Oriya,Punjabi,1.9805076797433938,0.07146655315064605,0.09769738430784529,2.3864981099927873,5.003557302540252e-06
122,trigram,Oriya,Tamil,1.9184015226244486,0.07741692478342532,0.11326808271457293,3.144931496609204,5.5988445269897105e-05
123,trigram,Oriya,Telugu,1.9434153133246457,0.07075812149863146,0.15336931899331993,2.570789837958799,3.262344700012537e-05
124,trigram,Oriya,Urdu,1.9991680386406774,0.08158777558203024,-4.061338266636196e-05,1.1828997757365884,3.8922690648341846e-08
125,trigram,Punjabi,Punjabi,0.0,0.0,0.0,0.0,0.0016929787473248653
126,trigram,Punjabi,Tamil,1.9751335467705176,0.06597592314524006,0.04237076043223638,2.8157522774690253,1.050842970306947e-05
127,trigram,Punjabi,Telugu,1.8399340295064535,0.05626216033390523,0.11704426575851243,2.2392484148356924,8.750506369385845e-05
128,trigram,Punjabi,Urdu,1.997282493040455,0.07017331375298518,0.00022632307726862288,0.39561616948644274,4.1558377028062046e-07
129,trigram,Tamil,Tamil,0.0,0.0,0.0,0.0,0.002680860546947969
130,trigram,Tamil,Telugu,1.8827472835218622,0.06449265960150052,0.978249211573868,2.897033321242639,8.450973498694484e-05
131,trigram,Tamil,Urdu,1.996917169652064,0.07689054081933386,0.0016139931182430364,2.4021238011688135,4.258313744720818e-07
132,trigram,Telugu,Telugu,0.0,0.0,0.0,0.0,0.0016474620655007528
133,trigram,Telugu,Urdu,1.9872779204797202,0.06981103260598623,0.007366813892525905,2.296861561041931,3.0140876387662323e-06
134,trigram,Urdu,Urdu,0.0,0.0,0.0,0.0,0.00323214638329069
